VertexFrom VertexTo TimeStart TimeStop
VehicleFlowEastToSouth2 VehicleFlowWestToNorth6 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToNorth6 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToNorth7 2 2
VehicleFlowEastToSouth2 VehicleFlowSouthToNorth8 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast_026 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast_024 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast_022 2 2
VehicleFlowEastToSouth2 VehicleFlowWestToEast_021 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToWest9 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_033 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_032 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToEast3 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToEast6 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToEast5 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToEast4 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast34 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast35 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast36 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast37 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast30 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast31 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast32 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast33 2 2
VehicleFlowWestToNorth9 VehicleFlowSouthToEast7 2 2
VehicleFlowWestToNorth9 VehicleFlowEastToWest_19 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast27 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast26 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast25 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast24 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast23 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToWest10 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast29 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast28 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToNorth11 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_028 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToNorth12 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_029 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToNorth10 2 2
VehicleFlowWestToNorth9 BusFlowEastWest01 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_031 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_030 2 2
VehicleFlowWestToNorth9 VehicleFlowSouthToWest13 2 2
VehicleFlowWestToNorth9 VehicleFlowSouthToWest12 2 2
VehicleFlowWestToNorth9 VehicleFlowSouthToWest11 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToSouth4 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToNorth8 2 2
VehicleFlowWestToNorth9 VehicleFlowEastToWest10 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToSouth6 2 2
VehicleFlowWestToNorth9 VehicleFlowNorthToSouth5 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToNorth7 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToNorth6 2 2
VehicleFlowWestToNorth9 VehicleFlowSouthToNorth6 2 2
VehicleFlowWestToNorth9 VehicleFlowSouthToNorth7 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_027 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_024 2 2
VehicleFlowWestToNorth9 VehicleFlowWestToEast_022 2 2
VehicleFlowWestToNorth9 VehicleFlowEastToWest_012 2 2
VehicleFlowWestToNorth9 VehicleFlowEastToWest_011 2 2
BusFlowWestEast01 VehicleFlowEastToWest_111 2 2
BusFlowWestEast01 VehicleFlowEastToNorth5 2 2
BusFlowWestEast01 VehicleFlowEastToWest13 2 2
